Trade ID,Account ID,Instrument,TradeTime,B/S,Open/Close,Amount,Price,Trade Value,Spread Costs,Booked Amount
5390903073,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),04-Nov-2022,Bought,Close,1600,84.45,-135120,0,-1118.58
5391403533,700880INET,Apple Inc. (ISIN: US0378331005),04-Nov-2022,Bought,Open,666,136.72,-91055.52,0,-63.74
5391417189,700880INET,Microsoft Corp. (ISIN: US5949181045),04-Nov-2022,Bought,Open,300,218.95,-65685,0,-45.98
5391450757,700880INET,Microsoft Corp. (ISIN: US5949181045),04-Nov-2022,Sold,Close,-300,220,66000,0,268.8
5391451094,700880INET,Apple Inc. (ISIN: US0378331005),04-Nov-2022,Sold,Close,-666,137.72,91721.52,0,601.79
5392918856,700880INET,Boeing Co. (ISIN: US0970231058),07-Nov-2022,Bought,Open,767,165.16,-126677.72,0,-88.67
5393013675,700880INET,Boeing Co. (ISIN: US0970231058),07-Nov-2022,Sold,Close,-767,166,127322,0,555.15
5394167738,700880INET,Boeing Co. (ISIN: US0970231058),08-Nov-2022,Bought,Open,767,168.05,-128894.35,0,-90.23
5394276877,700880INET,Boeing Co. (ISIN: US0970231058),08-Nov-2022,Sold,Close,-767,170,130390,0,1404.38
5395185226,700880INET,JPMorgan Chase & Co. (ISIN: US46625H1005),09-Nov-2022,Bought,Open,1111,130.14,-144585.54,0,-101.21
5396554353,700880INET,JPMorgan Chase & Co. (ISIN: US46625H1005),10-Nov-2022,Sold,Close,-1111,133,147763,0,3074.03
5396910882,700880INET,Boeing Co. (ISIN: US0970231058),10-Nov-2022,Bought,Open,767,177.9993481,-136525.5,0,-95.57
5399617300,700880INET,Advanced Micro Devices Inc. (ISIN: US0079031078),14-Nov-2022,Bought,Open,700,74.18,-51926,0,-36.35
5399808481,700880INET,Advanced Micro Devices Inc. (ISIN: US0079031078),14-Nov-2022,Sold,Close,-700,75,52500,0,537.25
5401132101,700880INET,Advanced Micro Devices Inc. (ISIN: US0079031078),15-Nov-2022,Bought,Open,700,78.47,-54929,0,-38.45
5409177101,700880INET,Advanced Micro Devices Inc. (ISIN: US0079031078),23-Nov-2022,Sold,Close,-700,77.0454,53931.78,0,-1034.97
5409208501,700880INET,US Tech. 100 NAS (ISIN: US6311011026),23-Nov-2022,Bought,Open,20,11800.7,-236014,-4.5,0
5409410496,700880INET,US Tech. 100 NAS (ISIN: US6311011026),23-Nov-2022,Sold,Close,-20,11827.51,236550.2,-4.5,536.2
5409542101,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),23-Nov-2022,Bought,Open,600,98.18,-58908,0,-41.24
5409571935,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),23-Nov-2022,Sold,Close,-600,98.4,59040,0,90.67
5411207088,700880INET,JPMorgan Chase & Co. (ISIN: US46625H1005),25-Nov-2022,Bought,Open,444,136.3,-60517.2,0,-42.36
5411401377,700880INET,JPMorgan Chase & Co. (ISIN: US46625H1005),25-Nov-2022,Sold,Close,-444,136.77,60725.88,0,166.17
5411411598,700880INET,Boeing Co. (ISIN: US0970231058),25-Nov-2022,Sold,Close,-767,178.1,136602.7,0,-18.42
5412341121,700880INET,US Tech. 100 NAS (ISIN: US6311011026),28-Nov-2022,Bought,Open,40,11721.99,-468879.6,-9,0
5412365259,700880INET,Advanced Micro Devices Inc. (ISIN: US0079031078),28-Nov-2022,Bought,Open,1000,74.86,-74860,0,-52.4
5412369185,700880INET,US Tech. 100 NAS (ISIN: US6311011026),28-Nov-2022,Sold,Close,-40,11760.67,470426.8,-9,1547.2
5412379424,700880INET,Advanced Micro Devices Inc. (ISIN: US0079031078),28-Nov-2022,Sold,Close,-1000,74.94,74940,0,27.54
5412503693,700880INET,Amazon.com Inc. (ISIN: US0231351067),28-Nov-2022,Bought,Open,1000,94.18,-94180,0,-65.93
5412559478,700880INET,Amazon.com Inc. (ISIN: US0231351067),28-Nov-2022,Sold,Close,-1000,95,95000,0,753.5
5413596695,700880INET,US Tech. 100 NAS (ISIN: US6311011026),29-Nov-2022,Bought,Open,40,11620.6,-464824,-9,0
5413712226,700880INET,Boeing Co. (ISIN: US0970231058),29-Nov-2022,Bought,Open,444,173.2125225,-76906.36,0,-53.83
5413720107,700880INET,Boeing Co. (ISIN: US0970231058),29-Nov-2022,Sold,Close,-444,174.5,77478,0,517.41
5413905304,700880INET,Boeing Co. (ISIN: US0970231058),29-Nov-2022,Sold,Open,-444,174.27,77375.88,0,-54.16
5413913185,700880INET,Boeing Co. (ISIN: US0970231058),29-Nov-2022,Bought,Close,444,174.49,-77473.56,0,-151.91
5413934312,700880INET,Microsoft Corp. (ISIN: US5949181045),29-Nov-2022,Sold,Open,-300,239.16,71748,0,-50.22
5413959950,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),29-Nov-2022,Sold,Open,-256,94.18,24110.08,0,-16.88
5414021407,700880INET,Microsoft Corp. (ISIN: US5949181045),29-Nov-2022,Bought,Close,300,240,-72000,0,-302.4
5414032638,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),29-Nov-2022,Bought,Close,256,95.51,-24450.56,0,-357.6
5415224253,700880INET,US Tech. 100 NAS (ISIN: US6311011026),30-Nov-2022,Sold,Close,-40,11620,464800,-9,-24
5415286156,700880INET,US Tech. 100 NAS (ISIN: US6311011026),30-Nov-2022,Bought,Open,40,11770.84,-470833.6,-9,0
5415298317,700880INET,US Tech. 100 NAS (ISIN: US6311011026),30-Nov-2022,Sold,Open,-40,11803.89,472155.6,-9,0
5415298884,700880INET,US Tech. 100 NAS (ISIN: US6311011026),30-Nov-2022,Sold,Close,-40,11798.89,471955.6,-9,1122
5415299206,700880INET,US Tech. 100 NAS (ISIN: US6311011026),30-Nov-2022,Bought,Open,40,11801.43,-472057.2,-9,0
5415300033,700880INET,US Tech. 100 NAS (ISIN: US6311011026),30-Nov-2022,Sold,Close,-40,11789.97,471598.8,-9,-458.4
5415300407,700880INET,US Tech. 100 NAS (ISIN: US6311011026),30-Nov-2022,Bought,Close,40,11786.8,-471472,-9,683.6
5415320164,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),30-Nov-2022,Bought,Open,256,99.36,-25436.16,0,-17.81
5415346911,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),30-Nov-2022,Sold,Close,-256,99.65,25510.4,0,56.38
5415430426,700880INET,US Tech. 100 NAS (ISIN: US6311011026),30-Nov-2022,Bought,Open,40,11944.21,-477768.4,-9,0
5415468313,700880INET,US Tech. 100 NAS (ISIN: US6311011026),30-Nov-2022,Sold,Close,-40,12000.02,480000.8,-9,2232.4
5417857398,700880INET,US Tech. 100 NAS (ISIN: US6311011026),02-Dec-2022,Bought,Open,40,11849.85,-473994,-9,0
5418022487,700880INET,US Tech. 100 NAS (ISIN: US6311011026),02-Dec-2022,Sold,Close,-40,11901.33,476053.2,-9,2059.2
5418032891,700880INET,Amazon.com Inc. (ISIN: US0231351067),02-Dec-2022,Bought,Open,1000,94.73,-94730,0,-66.31
5418437296,700880INET,Amazon.com Inc. (ISIN: US0231351067),02-Dec-2022,Sold,Close,-1000,94,94000,0,-795.8
5418441371,700880INET,US Tech. 100 NAS (ISIN: US6311011026),02-Dec-2022,Bought,Open,40,11935.9,-477436,-9,0
5418446776,700880INET,US Tech. 100 NAS (ISIN: US6311011026),02-Dec-2022,Sold,Close,-40,11968.3,478732,-9,1296
5419441700,700880INET,US Tech. 100 NAS (ISIN: US6311011026),05-Dec-2022,Bought,Open,40,11938.98,-477559.2,-9,0
5419503854,700880INET,US Tech. 100 NAS (ISIN: US6311011026),05-Dec-2022,Sold,Close,-40,11919.75,476790,-9,-769.2
5419662153,700880INET,US Tech. 100 NAS (ISIN: US6311011026),05-Dec-2022,Bought,Open,40,11910.34,-476413.6,-9,0
